Place Name,Review Name,Relative Publish Time Description,Rating,Text,Original Text,Author Display Name,Author URI,Author Photo URI,Publish Time
Mamasushi,places/ChIJj7633u_dOkcR_OhJVciW9ew/reviews/ChdDSUhNMG9nS0VJQ0FnSUNsckxYSWl3RRAB,4 months ago,5,"Just now I found out that sushi appeared in my apartment. I immediately decided to try it and regretted that I didn't know about them before. Everything is very tasty. The products are fresh, the portions are large. We didn't specify how many people to prepare the dishes for, we were given separate dishes, ginger and wasabi for each portion of rolls, which was especially pleasing. Definitely recommend","Тільки зараз дізналась, що в моєму жк зʼявились суші. Відразу вирішила скуштувати і дуже пожалкувала, що раніше не знала про них. Все дуже смачно. Продукти свіжі, порції великі. Ми не вказали на скількох чоловік нам готувати прибори, нам поклали на кожну порцію ролів окремо прибори, імбир і васабі, що окремо потішило. Однозначно рекомендую",Елена Мамонтовая,https://www.google.com/maps/contrib/105985893453618107903/reviews,https://lh3.googleusercontent.com/a-/ALV-UjVWusA0jUvrt-bwXPnCDkJuLQ8mwOpdbkgpOTMpco7zncGpRYs=s128-c0x00000000-cc-rp-mo,2023-11-30T12:16:13Z
Mamasushi,places/ChIJj7633u_dOkcR_OhJVciW9ew/reviews/ChdDSUhNMG9nS0VJQ0FnSUQ5MGVEbWhRRRAB,2 weeks ago,5,I ordered sushi - the rolls are fresh and tasty. Good quality packaging. I liked.,Замовляла суші - роли свіжі та смачні.   Гарне якісне упакування. Мені сподобалось.,Uliana Tomkiv,https://www.google.com/maps/contrib/103052703382175162881/reviews,https://lh3.googleusercontent.com/a-/ALV-UjWDqgHPyhsyHdDBQQpe5HOd9yPVPxikUAnIVjHv9GXXh0dlPKr7=s128-c0x00000000-cc-rp-mo,2024-03-17T21:06:09Z
Mamasushi,places/ChIJj7633u_dOkcR_OhJVciW9ew/reviews/ChdDSUhNMG9nS0VJQ0FnSUMxa3VuY3dBRRAB,3 months ago,5,"Sushi is big and very tasty, fast and cheap, not crowded. It was difficult to find a place, I went around the yards and then saw a pink sign on a pole, I attached a photo of the entrance, maybe it will help someone.","Суші великі і дуже смачні, швидко  та вигідно, не людно. Важко було знайти місце , обійшла двори і потім побачила на стовбі рожевий вказівник, приклала фото входу , може комусь допоможе.",Марія Волі,https://www.google.com/maps/contrib/104466169119972342325/reviews,https://lh3.googleusercontent.com/a/ACg8ocIdiQY9aJQwA5qEZy7Rx9eelET5NlcdP0fLbrHVzmq7V7Qc7g=s128-c0x00000000-cc-rp-mo-ba3,2023-12-26T15:53:58Z
Mamasushi,places/ChIJj7633u_dOkcR_OhJVciW9ew/reviews/ChZDSUhNMG9nS0VJQ0FnSUM5bEozNFJnEAE,a month ago,5,"Very tasty sushi, I would especially recommend baked ones",Дуже смачні суші особливо порадив би запечені,Александр Кучерявый,https://www.google.com/maps/contrib/110336209864263579720/reviews,https://lh3.googleusercontent.com/a/ACg8ocIvttfNDRVknv1AR6WazsSaikJdOskyYSDoBEwRpFyLcjxxPw=s128-c0x00000000-cc-rp-mo,2024-03-02T18:16:37Z
Krumpli Lviv,places/ChIJ2_yB9oPdOkcRYZN-MalOoB0/reviews/ChZDSUhNMG9nS0VJQ0FnSURaakxiUkxBEAE,6 months ago,2,"The food was good. My issue was with the waitress. She was impatient and after I received my meal I didn’t see her again until I asked me for the bill. I had to get up to get a napkin. Then waited and waited for a top up of my drink but didn’t see her or any else for that matter. Then when I had pushed away my empty plates, she showed up asking if that will be cash or credit card. Then before I had a chance to open my wallet she was back ready to collect the cash. It’s too bad for the owner, I would have had a few more drinks and possibly desert but now I will not go back at all.","The food was good. My issue was with the waitress. She was impatient and after I received my meal I didn’t see her again until I asked me for the bill. I had to get up to get a napkin. Then waited and waited for a top up of my drink but didn’t see her or any else for that matter. Then when I had pushed away my empty plates, she showed up asking if that will be cash or credit card. Then before I had a chance to open my wallet she was back ready to collect the cash. It’s too bad for the owner, I would have had a few more drinks and possibly desert but now I will not go back at all.",Walter,https://www.google.com/maps/contrib/110343944577522542024/reviews,https://lh3.googleusercontent.com/a/ACg8ocJJpd7t5sSqcDAgqRVSK2kic1bgrdSaRNVepNTnzlRECSVgGg=s128-c0x00000000-cc-rp-mo,2023-09-25T18:08:43Z
Krumpli Lviv,places/ChIJ2_yB9oPdOkcRYZN-MalOoB0/reviews/ChZDSUhNMG9nS0VJQ0FnSUNObU1mYUVREAE,2 months ago,3,"Not great, not terrible. We were a larger group, and I think we were the only ones at the restaurant on a Wednesday evening. The waitress was a lovely young lady, but she forgot to bring cutlery and mixed up one of the dishes in the order – it happens. Banosh was nice, holubtsi – so-so. Had to wait a long time for the food, and they didn't have enough regular size glasses for beers for us (we were about 15 people max). So we ordered several of the gigantic ones :) Hard to imagine how they cope when there are more people at the restaurant.","Not great, not terrible. We were a larger group, and I think we were the only ones at the restaurant on a Wednesday evening. The waitress was a lovely young lady, but she forgot to bring cutlery and mixed up one of the dishes in the order – it happens. Banosh was nice, holubtsi – so-so. Had to wait a long time for the food, and they didn't have enough regular size glasses for beers for us (we were about 15 people max). So we ordered several of the gigantic ones :) Hard to imagine how they cope when there are more people at the restaurant.",Dita Krauze,https://www.google.com/maps/contrib/109815783364069918181/reviews,https://lh3.googleusercontent.com/a-/ALV-UjV-vOlVsHJvsbE7np61gO-QOWe9ItAkZJlLiClnyVVM8HaCcunC_Q=s128-c0x00000000-cc-rp-mo-ba4,2024-01-11T21:12:44Z
Krumpli Lviv,places/ChIJ2_yB9oPdOkcRYZN-MalOoB0/reviews/ChZDSUhNMG9nS0VJQ0FnSUQ1b3J5N0NREAE,5 months ago,4,"True to say, don’t know why everyone complain about service. We’ve been here dozens of times and never had this issue. Of course this is not a hipster fancy restaurant, but food is good, portions big, prices very pleasant. Average bill for two is around 400-500UAH (with drinks!) So if you want something fancy stylish - continue searching, but if you want tasty Ukrainian food for everyday, then this is your place for sure.","True to say, don’t know why everyone complain about service. We’ve been here dozens of times and never had this issue. Of course this is not a hipster fancy restaurant, but food is good, portions big, prices very pleasant. Average bill for two is around 400-500UAH (with drinks!) So if you want something fancy stylish - continue searching, but if you want tasty Ukrainian food for everyday, then this is your place for sure.",Irina Kolomyets,https://www.google.com/maps/contrib/111464759307492413208/reviews,https://lh3.googleusercontent.com/a-/ALV-UjXnvJ-l_0YhUdk8BMC60C3kZukz-nJDtocR1aIals7gQL4aoXtP=s128-c0x00000000-cc-rp-mo-ba3,2023-10-21T11:30:58Z
Krumpli Lviv,places/ChIJ2_yB9oPdOkcRYZN-MalOoB0/reviews/ChdDSUhNMG9nS0VJQ0FnSUN0NzdxQXhRRRAB,2 months ago,4,"The institution is not bad. But for us the disadvantages were☝🏼:
• ordered borscht with some kind of baked bread - delicious, but the potatoes in the borscht were clearly undercooked
• were in January - it was cold in the hall, you could put pillows on the wooden chairs
• cooking time - from 20 to 30 minutes (

But from the pluses☝🏼:
• banosh with sour cream and crackers is super, I recommend it
• dumplings with torn meat are super tasty
Check for 1 and 2 dishes and 2 compotes for two 700 UAH

I am not sure that I will come here again because of the disadvantages that I described above","Заклад непоганий. Але для нас мінусами було☝🏼:
•замовила борщ з якимсь печеним хлібом-смачно, але картопля у борщі явно недоварена
•були в січні-в залі холодно, на деревʼяні стільці можна було подушки покласти
•час готування-від 20 до 30 хвилин(

Але з плюсів☝🏼:
•банош зі сметаною та шкварками-супер, рекомендую
•деруни з рваним мʼясом супер смачні
Чек за 1 і 2 страви і 2 компотів на двох 700грн

Не впевнена що прийду ще раз сюди через мінуси, котрі вище описала",Марина Коваль,https://www.google.com/maps/contrib/116379477094273563101/reviews,https://lh3.googleusercontent.com/a-/ALV-UjXBs6jnakxRg8m3-0XkiV84OUIfMykqGGo8W58etZnsaKYQCPYR=s128-c0x00000000-cc-rp-mo-ba2,2024-02-01T16:57:11Z
Krumpli Lviv,places/ChIJ2_yB9oPdOkcRYZN-MalOoB0/reviews/ChZDSUhNMG9nS0VJQ0FnSUM1a0pmRWJ3EAE,6 months ago,2,"Unfortunately, they spent money on advertising and PR in the media and saved on the main thing - the quality of dishes and service.
Ordered olivier and bograch.
The presentation is good, but the taste :(
Olivier had undercooked potatoes. Bograch is thickened with flour or something else for an unknown purpose. Perhaps this is some Galician recipe that has not been found anywhere ♂️ 🤷.
The dishes were served for a very long time, the service by the waiter could also be better.","Нажаль, витратились на рекламу та PR у медіа та зекономили на головному - якості страв та обслуговуванні.
Замовили олівʼє та бограч.
Подача гарна, але смак :(
У олівʼє була недоварена картопля. Бограч з незрозумілою ціллю загущують борошном чи чимось ще. Можливо це якийсь галицький рецепт, який ще ніде не зустрічали 🤷‍♂️.
Страви видавали дуже довго, обслуговування офіціантом теж бажало кращого.",Anatolii Orliuk,https://www.google.com/maps/contrib/101625773567430428704/reviews,https://lh3.googleusercontent.com/a-/ALV-UjXAw1BnClqEkvleLhSO9_CrDqBvdbtGkKUKZm9znHsiQhikYJDM=s128-c0x00000000-cc-rp-mo-ba3,2023-10-09T13:57:31Z
Churrasco Grill & Beer,places/ChIJAzLiQGzdOkcRLzZDrb34aao/reviews/ChdDSUhNMG9nS0VJQ0FnSURTOXRhLTFBRRAB,3 years ago,2,"Had the worst ribs ever that were highly recommended by staff. Over dry and nearly impossible to separate. When the waiter asked how food was and I told her about the ribs, she said “oh well, hope you like them better next time”.

Additionally, the restaurant that has “beer” in its title had only one kind of draft beer and no beer platters. Some other menu items were also missing.

The waitress removed my fork with the appetizer and when the main course was served, I had to wait for at least 5 minutes to get another one (after I had to get up and ask for it)

Additionally, they charged me extra on an pos-terminal entry error and it took another 10 minutes for them to try to figure out how to refund my card before they finally decided to just give me back some cash.","Had the worst ribs ever that were highly recommended by staff. Over dry and nearly impossible to separate. When the waiter asked how food was and I told her about the ribs, she said “oh well, hope you like them better next time”.

Additionally, the restaurant that has “beer” in its title had only one kind of draft beer and no beer platters. Some other menu items were also missing.

The waitress removed my fork with the appetizer and when the main course was served, I had to wait for at least 5 minutes to get another one (after I had to get up and ask for it)

Additionally, they charged me extra on an pos-terminal entry error and it took another 10 minutes for them to try to figure out how to refund my card before they finally decided to just give me back some cash.",Oleksiy Naumov,https://www.google.com/maps/contrib/106343268534886430640/reviews,https://lh3.googleusercontent.com/a-/ALV-UjVju732tBhyE8vBjCLH8usA9s9DtrPD0XeWIMsM4VLxjiBPt3Hk=s128-c0x00000000-cc-rp-mo-ba5,2020-12-25T07:20:37Z
Churrasco Grill & Beer,places/ChIJAzLiQGzdOkcRLzZDrb34aao/reviews/ChdDSUhNMG9nS0VJQ0FnSUNZNUxYRy1nRRAB,5 years ago,2,"Everything was fine, till the time when angry waitress came to our table, but okay anyone could have a bad day.. then we get wine and was tasty. Finally we had a food, it looks soo good and tasty till the first bite.. mine chicken wings was overcooked, frites awful.. my partner took a pork and this time is wasn't cooked enough.. we haven't ate anything and took the bill, waitress not even asked us about the food.. so wine was fine but everything else was horrible.. unfortunately never again 😓","Everything was fine, till the time when angry waitress came to our table, but okay anyone could have a bad day.. then we get wine and was tasty. Finally we had a food, it looks soo good and tasty till the first bite.. mine chicken wings was overcooked, frites awful.. my partner took a pork and this time is wasn't cooked enough.. we haven't ate anything and took the bill, waitress not even asked us about the food.. so wine was fine but everything else was horrible.. unfortunately never again 😓",Iza Bella,https://www.google.com/maps/contrib/104023478713396304769/reviews,https://lh3.googleusercontent.com/a/ACg8ocLw_SsBhrbxpstkv0EdofdBhlguGaUniFecZSt0cPzbj1UGmg=s128-c0x00000000-cc-rp-mo-ba3,2019-04-03T17:48:54Z
Churrasco Grill & Beer,places/ChIJAzLiQGzdOkcRLzZDrb34aao/reviews/ChdDSUhNMG9nS0VJQ0FnSURhMkx2bi1BRRAB,2 years ago,3,"It looks nice on photos and when walking past but it really doesn’t meet expectations.
The appetizer had sauces with bread and nothing fit together.

For the main corse we had ribs and salmon. The salmon was small and had nothing with it so we ordered potatoes. That was not made clear by the menu nor the waiter. It tasted good according to my gf but part of it was overcooked and hard.
The ribs were also a bit too hard where I had expected soft and tender meat. It was mediocre only.

We changed our minds and decided to get dessert elsewhere.","It looks nice on photos and when walking past but it really doesn’t meet expectations.
The appetizer had sauces with bread and nothing fit together.

For the main corse we had ribs and salmon. The salmon was small and had nothing with it so we ordered potatoes. That was not made clear by the menu nor the waiter. It tasted good according to my gf but part of it was overcooked and hard.
The ribs were also a bit too hard where I had expected soft and tender meat. It was mediocre only.

We changed our minds and decided to get dessert elsewhere.",Derrick Eriksson,https://www.google.com/maps/contrib/106922081511883131795/reviews,https://lh3.googleusercontent.com/a-/ALV-UjVAmCQiqxOd8HtJQqhOGRHUJArOhR2O5k0lwH7P4hrg0_JdOfNO=s128-c0x00000000-cc-rp-mo-ba4,2021-08-14T17:59:06Z
Churrasco Grill & Beer,places/ChIJAzLiQGzdOkcRLzZDrb34aao/reviews/ChZDSUhNMG9nS0VJQ0FnSURJd19Uc0F3EAE,5 years ago,5,Enjoyed the dinner a lot. The price value is excellent for the 400g beef steak. The service was very friendly which gave the perfect atmosphere to the meal.,Enjoyed the dinner a lot. The price value is excellent for the 400g beef steak. The service was very friendly which gave the perfect atmosphere to the meal.,Benjamin Sturzenegger,https://www.google.com/maps/contrib/108768886738175733191/reviews,https://lh3.googleusercontent.com/a-/ALV-UjW8fwzw5C-hSvc5OVeunhIkIU6P81vv0TPZP5pxQVrT1CbGt5N--g=s128-c0x00000000-cc-rp-mo-ba5,2019-01-18T20:17:00Z
Churrasco Grill & Beer,places/ChIJAzLiQGzdOkcRLzZDrb34aao/reviews/ChZDSUhNMG9nS0VJQ0FnSURhMktHWWNREAE,2 years ago,5,"Great place just in the heart of Lviv. Fo all meat lovers - a must visit! Amazing staff and delicious food, really recommend! Beef steak was huge and cooked very well!

P.S. my boyfriend made me to mention that there is no french fries ☺️","Great place just in the heart of Lviv. Fo all meat lovers - a must visit! Amazing staff and delicious food, really recommend! Beef steak was huge and cooked very well!

P.S. my boyfriend made me to mention that there is no french fries ☺️",Olga Zhulidova,https://www.google.com/maps/contrib/109719707934221754362/reviews,https://lh3.googleusercontent.com/a-/ALV-UjUjX8tamkwSs2Y_H-3_Tb5C7MSmKds0UbZoelOHHEeYC6n_YzT96w=s128-c0x00000000-cc-rp-mo,2021-08-14T16:49:45Z
Korzo Family. Цукерня-ресторація,places/ChIJ8UNPbDwZOUcRWiRX5fcopDE/reviews/ChZDSUhNMG9nS0VJQ0FnSUNjNmN1Q0NnEAE,4 years ago,5,"Good atmosphere, everything is clean and looks nice. Friendly staff. Tasty cakes and tarts. Special thanks for delicious sea buckthorn tea.","Good atmosphere, everything is clean and looks nice. Friendly staff. Tasty cakes and tarts. Special thanks for delicious sea buckthorn tea.",Laszlo M,https://www.google.com/maps/contrib/100445697186093845631/reviews,https://lh3.googleusercontent.com/a/ACg8ocKGW8qqb4KwEjYmdwgGaFTl6GD1qNxJdqlxXUTGawLrwnnHNQ=s128-c0x00000000-cc-rp-mo,2020-03-15T11:35:00Z
Korzo Family. Цукерня-ресторація,places/ChIJ8UNPbDwZOUcRWiRX5fcopDE/reviews/ChdDSUhNMG9nS0VJQ0FnSUMwN2NhMGp3RRAB,4 years ago,3,"Good coffee and interior, but the pastry is overpriced for Uzhhorod. We ordered 4 different cakes, only one was really delicious. Other were just fine. Nothing special at all.","Good coffee and interior, but the pastry is overpriced for Uzhhorod. We ordered 4 different cakes, only one was really delicious. Other were just fine. Nothing special at all.",Никита Смирнов,https://www.google.com/maps/contrib/116735792540621592046/reviews,https://lh3.googleusercontent.com/a-/ALV-UjX0wZg9dc_LH2N6k-rWo_RyFk4QUAiLFZkgsPproBaT60J5Xb3x=s128-c0x00000000-cc-rp-mo-ba5,2019-10-06T20:44:53Z
