Place Name,Review Name,Relative Publish Time Description,Rating,Text,Original Text,Author Display Name,Author URI,Author Photo URI,Publish Time
Atelier 19. Pizza & lovely food,places/ChIJx6uzGBrdOkcRS5JyXNCf61g/reviews/ChZDSUhNMG9nS0VJQ0FnSURwbF8zU2N3EAE,7 months ago,5,"Tasty pizza — perfect choice for all those, looking for the correct pizza Neapolitan style. Good bread and mix of Ingredients.
My best choice — siciliano","Tasty pizza — perfect choice for all those, looking for the correct pizza Neapolitan style. Good bread and mix of Ingredients.
My best choice — siciliano",Kamertab yoga,https://www.google.com/maps/contrib/107312460917488155567/reviews,https://lh3.googleusercontent.com/a-/ALV-UjUoh3EuTvv7Amral4mkDdNVhDFP3DeyfyYISdoPbXfU7lPy=s128-c0x00000000-cc-rp-mo-ba3,2023-08-30T20:59:49Z
Atelier 19. Pizza & lovely food,places/ChIJx6uzGBrdOkcRS5JyXNCf61g/reviews/ChZDSUhNMG9nS0VJQ0FnSUNKcktmZ1R3EAE,9 months ago,5,"Interesting place. Great pasta, delicious cocktails, glamorous audience, cheerful waiters. It is necessary to clarify the serving size of dishes, because some are huge and some are very small. Cocktails are classy and awesomely decorated. The price tag is closer to high. In general, the place is worth it!","Interesting place. Great pasta, delicious cocktails, glamorous audience, cheerful waiters. It is necessary to clarify the serving size of dishes, because some are huge and some are very small. Cocktails are classy and awesomely decorated. The price tag is closer to high. In general, the place is worth it!",Ростислав Андрійович,https://www.google.com/maps/contrib/108152104602801454038/reviews,https://lh3.googleusercontent.com/a-/ALV-UjWF-RCkEB1qi-kdtD3-N12vXViliBX7XaRPSxM8R6DFCg=s128-c0x00000000-cc-rp-mo,2023-06-22T13:12:47Z
Atelier 19. Pizza & lovely food,places/ChIJx6uzGBrdOkcRS5JyXNCf61g/reviews/ChZDSUhNMG9nS0VJQ0FnSURaMmFmYk5BEAE,6 months ago,5,"The best pizza in my life.
The waiters are a bit slow sometimes but it's ok.
The pizza is amazing.","The best pizza in my life.
The waiters are a bit slow sometimes but it's ok.
The pizza is amazing.",Valeria Burdyka,https://www.google.com/maps/contrib/105267800586243040729/reviews,https://lh3.googleusercontent.com/a/ACg8ocJSRbb7Cco_iLRIsTPtjcnM3XKcIFsK70dGK0ZJlRdhOQ=s128-c0x00000000-cc-rp-mo-ba3,2023-10-04T11:35:43Z
Atelier 19. Pizza & lovely food,places/ChIJx6uzGBrdOkcRS5JyXNCf61g/reviews/ChZDSUhNMG9nS0VJQ0FnSUN5aTZIbEFREAE,3 years ago,5,"I love the interior of the place, it feels really cozy. The staff is very attentive and friendly and can definitely give you great recommendations if you're not sure what to order. Great place!","I love the interior of the place, it feels really cozy. The staff is very attentive and friendly and can definitely give you great recommendations if you're not sure what to order. Great place!",I Y,https://www.google.com/maps/contrib/100694089571441803194/reviews,https://lh3.googleusercontent.com/a-/ALV-UjWeUEYZp346NEVhcRoAp07_iWvV4kzvntGaH_SWMj3q-Mfl=s128-c0x00000000-cc-rp-mo-ba4,2021-02-12T19:52:11Z
Atelier 19. Pizza & lovely food,places/ChIJx6uzGBrdOkcRS5JyXNCf61g/reviews/ChZDSUhNMG9nS0VJQ0FnSURDaW9xNU93EAE,3 years ago,5,"My favorite place in Lviv. The food is delicious, so many options for everyone! The design is on top. So if you wish to take nice pictures for Instagram, there are few different areas for that) Btw food looks also pretty fab😁 And I can't mention The Staff! Those guys are amazing! Really sweet and attentive!
I and my friends will come back here again and again.
10/10
Stole my heart 🖤","My favorite place in Lviv. The food is delicious, so many options for everyone! The design is on top. So if you wish to take nice pictures for Instagram, there are few different areas for that) Btw food looks also pretty fab😁 And I can't mention The Staff! Those guys are amazing! Really sweet and attentive!
I and my friends will come back here again and again.
10/10
Stole my heart 🖤",Maria A.,https://www.google.com/maps/contrib/105629647122234622188/reviews,https://lh3.googleusercontent.com/a-/ALV-UjV2ULdUpQY-HqC0tyTvM7iVb16ah0ci34yIj_V2vNOzvA=s128-c0x00000000-cc-rp-mo-ba2,2020-09-21T19:21:48Z
Mamasushi,places/ChIJj7633u_dOkcR_OhJVciW9ew/reviews/ChdDSUhNMG9nS0VJQ0FnSUN0Zy1XaHdRRRAB,2 months ago,2,"Adequate ordering via the Internet is already a big advantage, because in some establishments you still have to write to Viber and throw money inexplicably.

That's where the good stuff ends.
The rolls come with ordinary square tubs with no wasabi and dubious ginger.
They took the most expensive set, where they probably should have put the best rolls, only one turned out to be tasty - maki with shrimp. The roll covered with processed cheese is simply disgusting, the rest of the order is not good, it is also cut crookedly 💔","Адекватне замовлення через інтернет це вже велика перевага, тому що у деяких закладах досі треба писати на вайбер і кидати незрозуміло куди гроші.

На цьому хороші речі закінчуються.
В комплектацію до ролів йде звичайні квадратні ванночки з ніяким васабі та сумнівним імбиром.
Взяли найдорожчий сет, куди мали би мабуть мали покласти найкращі роли, смачним виявився тільки один - макі з креветкою. Рол накритий плавленим сиром просто огидний, решта замовлення ніяке, ще й порізано криво 💔",Олексій Паламар,https://www.google.com/maps/contrib/113739282143381634945/reviews,https://lh3.googleusercontent.com/a-/ALV-UjWkFmsLpkBkdcNGcTwdr_XhY7cngOQtr-lXnGQb7RuMeFM0=s128-c0x00000000-cc-rp-mo-ba7,2024-01-31T16:22:31Z
Mamasushi,places/ChIJj7633u_dOkcR_OhJVciW9ew/reviews/ChdDSUhNMG9nS0VJQ0FnSUNsckxYSWl3RRAB,4 months ago,5,"Just now I found out that sushi appeared in my apartment. I immediately decided to try it and regretted that I didn't know about them before. Everything is very tasty. The products are fresh, the portions are large. We didn't specify how many people to prepare the dishes for, we were given separate dishes, ginger and wasabi for each portion of rolls, which was especially pleasing. Definitely recommend","Тільки зараз дізналась, що в моєму жк зʼявились суші. Відразу вирішила скуштувати і дуже пожалкувала, що раніше не знала про них. Все дуже смачно. Продукти свіжі, порції великі. Ми не вказали на скількох чоловік нам готувати прибори, нам поклали на кожну порцію ролів окремо прибори, імбир і васабі, що окремо потішило. Однозначно рекомендую",Елена Мамонтовая,https://www.google.com/maps/contrib/105985893453618107903/reviews,https://lh3.googleusercontent.com/a-/ALV-UjWC9d2QzHiT-ondL4aZgzSAGmugRJwcDs66owPAE5ORYw=s128-c0x00000000-cc-rp-mo,2023-11-30T12:16:13Z
Mamasushi,places/ChIJj7633u_dOkcR_OhJVciW9ew/reviews/ChdDSUhNMG9nS0VJQ0FnSUQ5MGVEbWhRRRAB,2 weeks ago,5,I ordered sushi - the rolls are fresh and tasty. Good quality packaging. I liked.,Замовляла суші - роли свіжі та смачні.   Гарне якісне упакування. Мені сподобалось.,Uliana Tomkiv,https://www.google.com/maps/contrib/103052703382175162881/reviews,https://lh3.googleusercontent.com/a-/ALV-UjWsb5rR0jLJHNEiPK9aJP9zp8tTHZVMjE5yLuMqVK9u3Do=s128-c0x00000000-cc-rp-mo,2024-03-17T21:06:09Z
Mamasushi,places/ChIJj7633u_dOkcR_OhJVciW9ew/reviews/ChdDSUhNMG9nS0VJQ0FnSUMxa3VuY3dBRRAB,3 months ago,5,"Sushi is big and very tasty, fast and cheap, not crowded. It was difficult to find a place, I went around the yards and then saw a pink sign on a pole, I attached a photo of the entrance, maybe it will help someone.","Суші великі і дуже смачні, швидко  та вигідно, не людно. Важко було знайти місце , обійшла двори і потім побачила на стовбі рожевий вказівник, приклала фото входу , може комусь допоможе.",Марія Волі,https://www.google.com/maps/contrib/104466169119972342325/reviews,https://lh3.googleusercontent.com/a/ACg8ocKIBHpdP6WaO3RK_-sc8wvwgKoCw7E-W-70sfgrKP9r=s128-c0x00000000-cc-rp-mo-ba3,2023-12-26T15:53:58Z
Mamasushi,places/ChIJj7633u_dOkcR_OhJVciW9ew/reviews/ChZDSUhNMG9nS0VJQ0FnSUM5bEozNFJnEAE,a month ago,5,"Very tasty sushi, I would especially recommend baked ones",Дуже смачні суші особливо порадив би запечені,Александр Кучерявый,https://www.google.com/maps/contrib/110336209864263579720/reviews,https://lh3.googleusercontent.com/a/ACg8ocKAsPS2gm2m0cxIrkuigMK0p4g_rNEWJQ3M0KD4d1CU=s128-c0x00000000-cc-rp-mo,2024-03-02T18:16:37Z
Krumpli Lviv,places/ChIJ2_yB9oPdOkcRYZN-MalOoB0/reviews/ChZDSUhNMG9nS0VJQ0FnSURaakxiUkxBEAE,6 months ago,2,"The food was good. My issue was with the waitress. She was impatient and after I received my meal I didn’t see her again until I asked me for the bill. I had to get up to get a napkin. Then waited and waited for a top up of my drink but didn’t see her or any else for that matter. Then when I had pushed away my empty plates, she showed up asking if that will be cash or credit card. Then before I had a chance to open my wallet she was back ready to collect the cash. It’s too bad for the owner, I would have had a few more drinks and possibly desert but now I will not go back at all.","The food was good. My issue was with the waitress. She was impatient and after I received my meal I didn’t see her again until I asked me for the bill. I had to get up to get a napkin. Then waited and waited for a top up of my drink but didn’t see her or any else for that matter. Then when I had pushed away my empty plates, she showed up asking if that will be cash or credit card. Then before I had a chance to open my wallet she was back ready to collect the cash. It’s too bad for the owner, I would have had a few more drinks and possibly desert but now I will not go back at all.",Walter,https://www.google.com/maps/contrib/110343944577522542024/reviews,https://lh3.googleusercontent.com/a/ACg8ocIdPPrzBQFlU1GKjEDmNaMWfJj_8s4lGwMmFXAO_oz2=s128-c0x00000000-cc-rp-mo,2023-09-25T18:08:43Z
Krumpli Lviv,places/ChIJ2_yB9oPdOkcRYZN-MalOoB0/reviews/ChZDSUhNMG9nS0VJQ0FnSUNObU1mYUVREAE,2 months ago,3,"Not great, not terrible. We were a larger group, and I think we were the only ones at the restaurant on a Wednesday evening. The waitress was a lovely young lady, but she forgot to bring cutlery and mixed up one of the dishes in the order – it happens. Banosh was nice, holubtsi – so-so. Had to wait a long time for the food, and they didn't have enough regular size glasses for beers for us (we were about 15 people max). So we ordered several of the gigantic ones :) Hard to imagine how they cope when there are more people at the restaurant.","Not great, not terrible. We were a larger group, and I think we were the only ones at the restaurant on a Wednesday evening. The waitress was a lovely young lady, but she forgot to bring cutlery and mixed up one of the dishes in the order – it happens. Banosh was nice, holubtsi – so-so. Had to wait a long time for the food, and they didn't have enough regular size glasses for beers for us (we were about 15 people max). So we ordered several of the gigantic ones :) Hard to imagine how they cope when there are more people at the restaurant.",Dita Krauze,https://www.google.com/maps/contrib/109815783364069918181/reviews,https://lh3.googleusercontent.com/a-/ALV-UjUo6iZhHbUcFBl4Jvicxq3BLoK3RBh02xV4u8ZIo5RC4nNg=s128-c0x00000000-cc-rp-mo-ba4,2024-01-11T21:12:44Z
Krumpli Lviv,places/ChIJ2_yB9oPdOkcRYZN-MalOoB0/reviews/ChZDSUhNMG9nS0VJQ0FnSUQ1b3J5N0NREAE,5 months ago,4,"True to say, don’t know why everyone complain about service. We’ve been here dozens of times and never had this issue. Of course this is not a hipster fancy restaurant, but food is good, portions big, prices very pleasant. Average bill for two is around 400-500UAH (with drinks!) So if you want something fancy stylish - continue searching, but if you want tasty Ukrainian food for everyday, then this is your place for sure.","True to say, don’t know why everyone complain about service. We’ve been here dozens of times and never had this issue. Of course this is not a hipster fancy restaurant, but food is good, portions big, prices very pleasant. Average bill for two is around 400-500UAH (with drinks!) So if you want something fancy stylish - continue searching, but if you want tasty Ukrainian food for everyday, then this is your place for sure.",Irina Kolomyets,https://www.google.com/maps/contrib/111464759307492413208/reviews,https://lh3.googleusercontent.com/a-/ALV-UjUzaTbdBtEh7sDIlyF41skJ3XLHH4cZamEjv51vyd7k_E8=s128-c0x00000000-cc-rp-mo-ba3,2023-10-21T11:30:58Z
Krumpli Lviv,places/ChIJ2_yB9oPdOkcRYZN-MalOoB0/reviews/ChdDSUhNMG9nS0VJQ0FnSUN0NzdxQXhRRRAB,2 months ago,4,"The institution is not bad. But for us the disadvantages were☝🏼:
• ordered borscht with some kind of baked bread - delicious, but the potatoes in the borscht were clearly undercooked
• were in January - it was cold in the hall, you could put pillows on the wooden chairs
• cooking time - from 20 to 30 minutes (

But from the pluses☝🏼:
• banosh with sour cream and crackers is super, I recommend it
• dumplings with torn meat are super tasty
Check for 1 and 2 dishes and 2 compotes for two 700 UAH

I am not sure that I will come here again because of the disadvantages that I described above","Заклад непоганий. Але для нас мінусами було☝🏼:
•замовила борщ з якимсь печеним хлібом-смачно, але картопля у борщі явно недоварена
•були в січні-в залі холодно, на деревʼяні стільці можна було подушки покласти
•час готування-від 20 до 30 хвилин(

Але з плюсів☝🏼:
•банош зі сметаною та шкварками-супер, рекомендую
•деруни з рваним мʼясом супер смачні
Чек за 1 і 2 страви і 2 компотів на двох 700грн

Не впевнена що прийду ще раз сюди через мінуси, котрі вище описала",Марина Коваль,https://www.google.com/maps/contrib/116379477094273563101/reviews,https://lh3.googleusercontent.com/a-/ALV-UjWEo57kwmpR2KYp5Oftan_0EK0pfr3vSSZuvhMlbACcumU=s128-c0x00000000-cc-rp-mo-ba2,2024-02-01T16:57:11Z
Krumpli Lviv,places/ChIJ2_yB9oPdOkcRYZN-MalOoB0/reviews/ChZDSUhNMG9nS0VJQ0FnSUM1a0pmRWJ3EAE,5 months ago,2,"Unfortunately, they spent money on advertising and PR in the media and saved on the main thing - the quality of dishes and service.
Ordered olivier and bograch.
The presentation is good, but the taste :(
Olivier had undercooked potatoes. Bograch is thickened with flour or something else for an unknown purpose. Perhaps this is some Galician recipe that has not been found anywhere ♂️ 🤷.
The dishes were served for a very long time, the service by the waiter could also be better.","Нажаль, витратились на рекламу та PR у медіа та зекономили на головному - якості страв та обслуговуванні.
Замовили олівʼє та бограч.
Подача гарна, але смак :(
У олівʼє була недоварена картопля. Бограч з незрозумілою ціллю загущують борошном чи чимось ще. Можливо це якийсь галицький рецепт, який ще ніде не зустрічали 🤷‍♂️.
Страви видавали дуже довго, обслуговування офіціантом теж бажало кращого.",Anatolii Orliuk,https://www.google.com/maps/contrib/101625773567430428704/reviews,https://lh3.googleusercontent.com/a-/ALV-UjVg6t-PhD_iD5ddsC_hZm76Uuo02iuGJcRAUn106dX7Wfw=s128-c0x00000000-cc-rp-mo-ba3,2023-10-09T13:57:31Z
Churrasco Grill & Beer,places/ChIJAzLiQGzdOkcRLzZDrb34aao/reviews/ChdDSUhNMG9nS0VJQ0FnSURTOXRhLTFBRRAB,3 years ago,2,"Had the worst ribs ever that were highly recommended by staff. Over dry and nearly impossible to separate. When the waiter asked how food was and I told her about the ribs, she said “oh well, hope you like them better next time”.

Additionally, the restaurant that has “beer” in its title had only one kind of draft beer and no beer platters. Some other menu items were also missing.

The waitress removed my fork with the appetizer and when the main course was served, I had to wait for at least 5 minutes to get another one (after I had to get up and ask for it)

Additionally, they charged me extra on an pos-terminal entry error and it took another 10 minutes for them to try to figure out how to refund my card before they finally decided to just give me back some cash.","Had the worst ribs ever that were highly recommended by staff. Over dry and nearly impossible to separate. When the waiter asked how food was and I told her about the ribs, she said “oh well, hope you like them better next time”.

Additionally, the restaurant that has “beer” in its title had only one kind of draft beer and no beer platters. Some other menu items were also missing.

The waitress removed my fork with the appetizer and when the main course was served, I had to wait for at least 5 minutes to get another one (after I had to get up and ask for it)

Additionally, they charged me extra on an pos-terminal entry error and it took another 10 minutes for them to try to figure out how to refund my card before they finally decided to just give me back some cash.",Oleksiy Naumov,https://www.google.com/maps/contrib/106343268534886430640/reviews,https://lh3.googleusercontent.com/a-/ALV-UjWbug1mpmoU3_eGRzLPxemvufjOhET534QprkdveopEepQ=s128-c0x00000000-cc-rp-mo-ba5,2020-12-25T07:20:37Z
Churrasco Grill & Beer,places/ChIJAzLiQGzdOkcRLzZDrb34aao/reviews/ChZDSUhNMG9nS0VJQ0FnSUQ1a2QybFJBEAE,5 months ago,5,"Excellent meal, Turkey nuggets are great, salads and fries were top notch.

Friendly, attentive staff, will return.","Excellent meal, Turkey nuggets are great, salads and fries were top notch.

Friendly, attentive staff, will return.",A B,https://www.google.com/maps/contrib/101313219781103659263/reviews,https://lh3.googleusercontent.com/a-/ALV-UjWkrojSELTeQtDe1UGrKPB87eZpDpx2VbpUBzifrBev6CM=s128-c0x00000000-cc-rp-mo-ba3,2023-10-25T18:57:51Z
Churrasco Grill & Beer,places/ChIJAzLiQGzdOkcRLzZDrb34aao/reviews/ChdDSUhNMG9nS0VJQ0FnSUNZNUxYRy1nRRAB,5 years ago,2,"Everything was fine, till the time when angry waitress came to our table, but okay anyone could have a bad day.. then we get wine and was tasty. Finally we had a food, it looks soo good and tasty till the first bite.. mine chicken wings was overcooked, frites awful.. my partner took a pork and this time is wasn't cooked enough.. we haven't ate anything and took the bill, waitress not even asked us about the food.. so wine was fine but everything else was horrible.. unfortunately never again 😓","Everything was fine, till the time when angry waitress came to our table, but okay anyone could have a bad day.. then we get wine and was tasty. Finally we had a food, it looks soo good and tasty till the first bite.. mine chicken wings was overcooked, frites awful.. my partner took a pork and this time is wasn't cooked enough.. we haven't ate anything and took the bill, waitress not even asked us about the food.. so wine was fine but everything else was horrible.. unfortunately never again 😓",Iza Bella,https://www.google.com/maps/contrib/104023478713396304769/reviews,https://lh3.googleusercontent.com/a/ACg8ocL3LyAC0tCGlVyIeTx4KJWMYw5ZN7BtRwP6N6ftVTCh=s128-c0x00000000-cc-rp-mo-ba3,2019-04-03T17:48:54Z
Churrasco Grill & Beer,places/ChIJAzLiQGzdOkcRLzZDrb34aao/reviews/ChdDSUhNMG9nS0VJQ0FnSURhMkx2bi1BRRAB,2 years ago,3,"It looks nice on photos and when walking past but it really doesn’t meet expectations.
The appetizer had sauces with bread and nothing fit together.

For the main corse we had ribs and salmon. The salmon was small and had nothing with it so we ordered potatoes. That was not made clear by the menu nor the waiter. It tasted good according to my gf but part of it was overcooked and hard.
The ribs were also a bit too hard where I had expected soft and tender meat. It was mediocre only.

We changed our minds and decided to get dessert elsewhere.","It looks nice on photos and when walking past but it really doesn’t meet expectations.
The appetizer had sauces with bread and nothing fit together.

For the main corse we had ribs and salmon. The salmon was small and had nothing with it so we ordered potatoes. That was not made clear by the menu nor the waiter. It tasted good according to my gf but part of it was overcooked and hard.
The ribs were also a bit too hard where I had expected soft and tender meat. It was mediocre only.

We changed our minds and decided to get dessert elsewhere.",Derrick Eriksson,https://www.google.com/maps/contrib/106922081511883131795/reviews,https://lh3.googleusercontent.com/a-/ALV-UjUF0dIc6wG4mHHEjzr5HapptKe6fSNOez5RDzniahKVkn8=s128-c0x00000000-cc-rp-mo-ba4,2021-08-14T17:59:06Z
Churrasco Grill & Beer,places/ChIJAzLiQGzdOkcRLzZDrb34aao/reviews/ChZDSUhNMG9nS0VJQ0FnSURJd19Uc0F3EAE,5 years ago,5,Enjoyed the dinner a lot. The price value is excellent for the 400g beef steak. The service was very friendly which gave the perfect atmosphere to the meal.,Enjoyed the dinner a lot. The price value is excellent for the 400g beef steak. The service was very friendly which gave the perfect atmosphere to the meal.,Benjamin Sturzenegger,https://www.google.com/maps/contrib/108768886738175733191/reviews,https://lh3.googleusercontent.com/a-/ALV-UjWQYtkbYyJCtYOkGhMK9hiNjzCyH-HHJX6rWF5DmR4GmfVf=s128-c0x00000000-cc-rp-mo-ba5,2019-01-18T20:17:00Z
Churrasco grill & wine,places/ChIJoTL-FmzdOkcRAuEi84H3UQQ/reviews/ChZDSUhNMG9nS0VJQ0FnSUQ1MHJ6eVJREAE,5 months ago,1,"After waiting 50 mins for “medium rare” steak, the dish came cold. Also there was hair! İn the salad. The person who respect to himself/herself shouldt go that place. I guess they just dont want to serve us good food because we are tourist.
In photos you can see that, they took order 18:15, and i got my steak “cold” 19:05.","After waiting 50 mins for “medium rare” steak, the dish came cold. Also there was hair! İn the salad. The person who respect to himself/herself shouldt go that place. I guess they just dont want to serve us good food because we are tourist.
In photos you can see that, they took order 18:15, and i got my steak “cold” 19:05.",İ. H. K.,https://www.google.com/maps/contrib/108960759043932153789/reviews,https://lh3.googleusercontent.com/a-/ALV-UjXp9KxoltwW1mbs3t2fP0KUDSfPugdKRhteQkKZSsXlQA=s128-c0x00000000-cc-rp-mo,2023-10-21T21:09:36Z
Churrasco grill & wine,places/ChIJoTL-FmzdOkcRAuEi84H3UQQ/reviews/ChdDSUhNMG9nS0VJQ0FnSUNsbWZqM19nRRAB,4 months ago,5,Look at my last plate to see how delicious the food is. Both plates of food with a drink for $10! Of course I am giving this place a perfect 5 out of 5 stars in every category,Look at my last plate to see how delicious the food is. Both plates of food with a drink for $10! Of course I am giving this place a perfect 5 out of 5 stars in every category,Dan Leal,https://www.google.com/maps/contrib/112719335091403060664/reviews,https://lh3.googleusercontent.com/a-/ALV-UjXFDhQLS77tIkGEMrig7sOct84hztqx18Z1QdPxJ8ruCMWH=s128-c0x00000000-cc-rp-mo-ba6,2023-11-21T21:02:55Z
